source,interaction,target
FLC,hyp,FLC
FLC,hyp,SVP
FLC,hyp,SOC1
FLC,hyp,AGL24
FLC,hyp,LFY
FLC,hyp,FT
FLC,hyp,FD
FLC,hyp,AP1
SVP,hyp,FLC
SVP,hyp,SVP
SVP,hyp,SOC1
SVP,hyp,AGL24
SVP,hyp,LFY
SVP,hyp,FT
SVP,hyp,FD
SVP,hyp,AP1
SOC1,hyp,FLC
SOC1,hyp,SVP
SOC1,hyp,SOC1
SOC1,hyp,AGL24
SOC1,hyp,LFY
SOC1,hyp,FT
SOC1,hyp,FD
SOC1,hyp,AP1
AGL24,hyp,FLC
AGL24,hyp,SVP
AGL24,hyp,SOC1
AGL24,hyp,AGL24
AGL24,hyp,LFY
AGL24,hyp,FT
AGL24,hyp,FD
AGL24,hyp,AP1
LFY,hyp,FLC
LFY,hyp,SVP
LFY,hyp,SOC1
LFY,hyp,AGL24
LFY,hyp,LFY
LFY,hyp,FT
LFY,hyp,FD
LFY,hyp,AP1
FT,hyp,FLC
FT,hyp,SVP
FT,hyp,SOC1
FT,hyp,AGL24
FT,hyp,LFY
FT,hyp,FT
FT,hyp,FD
FT,hyp,AP1
FD,hyp,FLC
FD,hyp,SVP
FD,hyp,SOC1
FD,hyp,AGL24
FD,hyp,LFY
FD,hyp,FT
FD,hyp,FD
FD,hyp,AP1
AP1,hyp,FLC
AP1,hyp,SVP
AP1,hyp,SOC1
AP1,hyp,AGL24
AP1,hyp,LFY
AP1,hyp,FT
AP1,hyp,FD
AP1,hyp,AP1